-2.000000000000000000e+00    1.307196999999999942e-01
-1.000000000000000000e+00    1.037930999999999993e-01
0.000000000000000000e+00    7.867509999999999781e-02
1.000000000000000000e+00    5.636030000000000206e-02
2.000000000000000000e+00    3.757479999999999848e-02
3.000000000000000000e+00    2.289549999999999919e-02
4.000000000000000000e+00    1.246880000000000037e-02
5.000000000000000000e+00    5.958800000000000208e-03
6.000000000000000000e+00    2.432800000000000153e-03
7.000000000000000000e+00    7.795000000000000279e-04
8.000000000000000000e+00    1.893999999999999959e-04
9.000000000000000000e+00    3.330000000000000305e-05
1.000000000000000000e+01    5.699999999999999636e-06
