2.000000000000000000e+00    3.001650000000000151e-01
3.000000000000000000e+00    2.427060000000000051e-01
4.000000000000000000e+00    1.873009999999999953e-01
5.000000000000000000e+00    1.349569999999999936e-01
6.000000000000000000e+00    9.021099999999999952e-02
7.000000000000000000e+00    5.334699999999999859e-02
8.000000000000000000e+00    2.720399999999999902e-02
9.000000000000000000e+00    1.098099999999999944e-02
1.000000000000000000e+01    3.553000000000000169e-03
1.100000000000000000e+01    7.460000000000000268e-04
1.200000000000000000e+01    1.060000000000000016e-04
1.300000000000000000e+01    6.999999999999999895e-06
