-2.000000000000000000e+00    1.306444885228291719e-01
-1.000000000000000000e+00    1.037590959534063217e-01
0.000000000000000000e+00    7.864960352514258068e-02
1.000000000000000000e+00    5.628195197654146942e-02
2.000000000000000000e+00    3.750612835892597891e-02
3.000000000000000000e+00    2.287840756108532048e-02
4.000000000000000000e+00    1.250081804073755083e-02
5.000000000000000000e+00    5.953867147778662411e-03
6.000000000000000000e+00    2.388290780932804478e-03
7.000000000000000000e+00    7.726748153784429281e-04
8.000000000000000000e+00    1.909077740759931440e-04
9.000000000000000000e+00    3.362722841961750519e-05
1.000000000000000000e+01    3.872108215522035298e-06
